TIME 	 VAUXP[1] 	 VAUXN[1] 
83353786 0.5 0
83355866 0.5 0
83357946 0.5 0
83360026 0.5 0
83362106 0.5 0
83364186 0.5 0
83366266 0.5 0
83368346 0.5 0
83370426 0.5 0
83372506 0.5 0
83374586 0.5 0
83376666 0.5 0
83378746 0.5 0
83380826 0.5 0
83382906 0.5 0
83384986 0.5 0
83387066 0.5 0
83389146 0.5 0
83391226 0.5 0
83393306 0.5 0
83395386 0.5 0
83397466 0.5 0
83399546 0.5 0
83401626 0.5 0
83403706 0.5 0
83405786 0.5 0
83407866 0.5 0
83409946 0.5 0
83412026 0.5 0
83414106 0.5 0
83416186 0.5 0
83418266 0.5 0
83420346 0.5 0
83422426 0.5 0
83424506 0.5 0
83426586 0.5 0
83428666 0.5 0
83430746 0.5 0
83432826 0.5 0
83434906 0.5 0
83436986 0.5 0
83439066 0.5 0
83441146 0.5 0
83443226 0.5 0
83445306 0.5 0
83447386 0.5 0
83449466 0.5 0
83451546 0.5 0
83453626 0.5 0
83455706 0.5 0
83457786 0.5 0
83459866 0.5 0
83461946 0.5 0
83464026 0.5 0
83466106 0.5 0
83468186 0.5 0
